_state,id,researcher_id,experiment_id,participant_id,trial_num,item_id,item,response,timelimit,word_count,task_type,time_per_trial,left_page,created_at,item_unified,response_unified,google_creativity,anthropic_creativity,xai_creativity,kimi_creativity,mistral_creativity,prediction,modelname,text
<django.db.models.base.ModelState object at 0x7f236edb6860>,54225,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,30,aut-8,KNIFE,screw driver ,Submitted,2,Alternate Uses Task,120,0,2026-01-06 22:08:34.199046+00:00,KNIFE,screw driver,20.0,15.0,35.0,nan,nan,0.47,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: screw driver "
<django.db.models.base.ModelState object at 0x7f236edb6980>,54227,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,32,aut-13,SOCK,puppet,Submitted,1,Alternate Uses Task,120,0,2026-01-06 22:10:39.589425+00:00,SOCK,puppet,20.0,28.0,35.0,nan,nan,0.7,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: puppet"
<django.db.models.base.ModelState object at 0x7f236edb6b30>,54230,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,35,aut-10,PENCIL,arrow,Submitted,1,Alternate Uses Task,120,0,2026-01-06 22:15:01.800494+00:00,PENCIL,arrow,30.0,28.0,25.0,nan,nan,0.59,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: arrow"
<django.db.models.base.ModelState object at 0x7f236edb6bc0>,54231,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,36,aut-10,PENCIL,knife,Submitted,1,Alternate Uses Task,120,0,2026-01-06 22:15:01.809164+00:00,PENCIL,Knife,20.0,15.0,10.0,nan,nan,0.45,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: knife"
<django.db.models.base.ModelState object at 0x7f236edb6ce0>,54233,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,38,aut-2,BRICK,boat anchor,Submitted,2,Alternate Uses Task,120,0,2026-01-06 22:17:37.512446+00:00,BRICK,Boat anchor,20.0,28.0,35.0,nan,nan,0.53,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: boat anchor"
<django.db.models.base.ModelState object at 0x7f236edb6d70>,54234,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,39,aut-2,BRICK,door stopper,Submitted,2,Alternate Uses Task,120,0,2026-01-06 22:17:37.518535+00:00,BRICK,Door stopper,10.0,15.0,35.0,nan,nan,0.46,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: door stopper"
<django.db.models.base.ModelState object at 0x7f236edb6e00>,54235,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,40,aut-2,BRICK,paper weight,Submitted,2,Alternate Uses Task,120,0,2026-01-06 22:17:37.523314+00:00,BRICK,paper weight,15.0,15.0,35.0,nan,nan,0.4,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: paper weight"
<django.db.models.base.ModelState object at 0x7f236ed99120>,54297,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,47,aut-8,KNIFE,peeler,Submitted,1,Alternate Uses Task,120,0,2026-01-07 00:08:19.184856+00:00,KNIFE,peeler,15.0,15.0,45.0,nan,nan,0.45,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: peeler"
<django.db.models.base.ModelState object at 0x7f236ed991b0>,54298,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,48,aut-8,KNIFE,scissors,Submitted,1,Alternate Uses Task,120,0,2026-01-07 00:08:19.190524+00:00,KNIFE,scissors,15.0,15.0,35.0,nan,nan,0.48,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: scissors"
<django.db.models.base.ModelState object at 0x7f236ed99240>,54299,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,49,aut-8,KNIFE,bottle opener,Submitted,2,Alternate Uses Task,120,0,2026-01-07 00:08:19.194644+00:00,KNIFE,bottle opener,20.0,28.0,35.0,nan,nan,0.58,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: bottle opener"
