id,item,response,source,prediction,modelname,text
5591cd21fdf99b63126f6c60,BRICK,as a paperweight,human,0.44,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: as a paperweight"
5591cd21fdf99b63126f6c60,BUCKET,as a spittoon,human,0.5,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: as a spittoon"
5591cd21fdf99b63126f6c60,KNIFE,balance food on the sides of the blade to eat from when a spoon or fork is not available,human,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: balance food on the sides of the blade to eat from when a spoon or fork is not available"
5591cd21fdf99b63126f6c60,PENCIL,used to practice karate chops on,human,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: used to practice karate chops on"
5591cd21fdf99b63126f6c60,SOCK,as storage/protection for solid items,human,0.33,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: as storage/protection for solid items"
55bb9ae7fdf99b26d27fda01,BRICK,prop open door,human,0.47,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: prop open door"
55bb9ae7fdf99b26d27fda01,BUCKET,hold stuff by front door,human,0.45,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: hold stuff by front door"
55bb9ae7fdf99b26d27fda01,KNIFE,cut branches,human,0.38,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: cut branches"
55bb9ae7fdf99b26d27fda01,PENCIL,use as a pointer,human,0.52,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: use as a pointer"
55bb9ae7fdf99b26d27fda01,SOCK,soft thing to hit with bat,human,0.53,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: soft thing to hit with bat"
56e225c2ec0fdd000641e72d,BRICK,paperweight,human,0.39,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: paperweight"
56e225c2ec0fdd000641e72d,BUCKET,use as a seat,human,0.39,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: use as a seat"
56e225c2ec0fdd000641e72d,KNIFE,use to mark garden edges,human,0.51,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: use to mark garden edges"
56e225c2ec0fdd000641e72d,PENCIL,use as a cat toy,human,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: use as a cat toy"
56e225c2ec0fdd000641e72d,SOCK,make it into a puppet,human,0.67,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: make it into a puppet"
574aff1b5bef980007af2745,BRICK,"door stop,",human,0.46,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: door stop,"
574aff1b5bef980007af2745,BUCKET,garen planter,human,0.44,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: garen planter"
574aff1b5bef980007af2745,KNIFE,horseshoe cleaner,human,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: horseshoe cleaner"
574aff1b5bef980007af2745,PENCIL,page marker,human,0.54,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: page marker"
574aff1b5bef980007af2745,SOCK,fill with crinkly material for a pet toy,human,0.53,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: fill with crinkly material for a pet toy"
5751b9a8702d130006285f79,BRICK,computer monitor stand,human,0.5,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: computer monitor stand"
5751b9a8702d130006285f79,BUCKET,hat,human,0.48,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: hat"
5751b9a8702d130006285f79,KNIFE,flat edge for tracing lines with a pen or pencil,human,0.61,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: flat edge for tracing lines with a pen or pencil"
5751b9a8702d130006285f79,PENCIL,stick for striking,human,0.47,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: stick for striking"
5751b9a8702d130006285f79,SOCK,glove,human,0.48,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object SOCK is: glove"
57c74977b23f0e000182dc3f,BRICK,to make a ladder or stepping stones,human,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BRICK is: to make a ladder or stepping stones"
57c74977b23f0e000182dc3f,BUCKET,washing facility like a bath tub or for clothes,human,0.49,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object BUCKET is: washing facility like a bath tub or for clothes"
57c74977b23f0e000182dc3f,KNIFE,to stir up paint,human,0.53,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object KNIFE is: to stir up paint"
57c74977b23f0e000182dc3f,PENCIL,as a temporary hair pin,human,0.53,CLAUS,"Identify how surprising, creative, unexpected, or interesting the following alternative use for the object PENCIL is: as a temporary hair pin"
