_state,id,researcher_id,experiment_id,participant_id,trial_num,item_id,item,response,timelimit,word_count,task_type,time_per_trial,left_page,created_at
<django.db.models.base.ModelState object at 0x7f236edb4850>,54168,rebeaty,7H4H7DwVobsViprPNEB4jm,test,1,DAT_1,DAT_1,"test,test,test,test,test,test,test,test,test,test",Submitted,10,Divergent Association Task,240,0,2026-01-06 20:54:31.165366+00:00
<django.db.models.base.ModelState object at 0x7f236edb48e0>,54169,rebeaty,7H4H7DwVobsViprPNEB4jm,test,2,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,test2,Submitted,1,Design Problems,120,0,2026-01-06 20:56:34.989273+00:00
<django.db.models.base.ModelState object at 0x7f236edb4970>,54170,rebeaty,7H4H7DwVobsViprPNEB4jm,test,3,dp-8,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,EMPTY RESPONSE,Time Limit Hit,2,Design Problems,120,5,2026-01-06 20:56:34.992688+00:00
<django.db.models.base.ModelState object at 0x7f236edb4a00>,54171,rebeaty,7H4H7DwVobsViprPNEB4jm,test,4,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,test3,Submitted,1,Design Problems,120,1,2026-01-06 21:00:38.964324+00:00
<django.db.models.base.ModelState object at 0x7f236edb4a90>,54172,rebeaty,7H4H7DwVobsViprPNEB4jm,test,5,dp-6,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,EMPTY RESPONSE,Time Limit Hit,2,Design Problems,120,1,2026-01-06 21:00:38.967568+00:00
<django.db.models.base.ModelState object at 0x7f236edb4b20>,54173,rebeaty,7H4H7DwVobsViprPNEB4jm,test,6,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,test6,Submitted,1,Design Problems,120,0,2026-01-06 21:02:45.503029+00:00
<django.db.models.base.ModelState object at 0x7f236edb4bb0>,54174,rebeaty,7H4H7DwVobsViprPNEB4jm,test,7,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,EMPTY RESPONSE,Time Limit Hit,2,Design Problems,120,0,2026-01-06 21:02:45.506098+00:00
<django.db.models.base.ModelState object at 0x7f236edb4c40>,54175,rebeaty,7H4H7DwVobsViprPNEB4jm,test,8,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,test7,Submitted,1,Design Problems,120,0,2026-01-06 21:04:49.512431+00:00
<django.db.models.base.ModelState object at 0x7f236edb4cd0>,54176,rebeaty,7H4H7DwVobsViprPNEB4jm,test,9,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,EMPTY RESPONSE,Time Limit Hit,2,Design Problems,120,0,2026-01-06 21:04:49.515655+00:00
<django.db.models.base.ModelState object at 0x7f236edb4d60>,54177,rebeaty,7H4H7DwVobsViprPNEB4jm,test,10,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,test8,Submitted,1,Design Problems,120,0,2026-01-06 21:37:52.168366+00:00
<django.db.models.base.ModelState object at 0x7f236edb4df0>,54178,rebeaty,7H4H7DwVobsViprPNEB4jm,test,11,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,bn,Submitted,1,Design Problems,120,2,2026-01-06 21:37:52.171633+00:00
<django.db.models.base.ModelState object at 0x7f236edb4e80>,54179,rebeaty,7H4H7DwVobsViprPNEB4jm,test,12,dp-10,Develop as many design ideas as you can to improve access to clean water in remote areas.,EMPTY RESPONSE,Time Limit Hit,2,Design Problems,120,2,2026-01-06 21:37:52.174784+00:00
<django.db.models.base.ModelState object at 0x7f236edb4f10>,54180,rebeaty,7H4H7DwVobsViprPNEB4jm,test,13,aut-2,BRICK,test,Submitted,1,Alternate Uses Task,120,0,2026-01-06 21:39:58.364230+00:00
<django.db.models.base.ModelState object at 0x7f236edb4fa0>,54181,rebeaty,7H4H7DwVobsViprPNEB4jm,test,14,aut-2,BRICK,EMPTY RESPONSE,Time Limit Hit,2,Alternate Uses Task,120,0,2026-01-06 21:39:58.369992+00:00
<django.db.models.base.ModelState object at 0x7f236edb5030>,54182,rebeaty,7H4H7DwVobsViprPNEB4jm,test,15,aut-8,KNIFE,test,Submitted,1,Alternate Uses Task,120,0,2026-01-06 21:42:01.104853+00:00
<django.db.models.base.ModelState object at 0x7f236edb50c0>,54183,rebeaty,7H4H7DwVobsViprPNEB4jm,test,16,aut-8,KNIFE,EMPTY RESPONSE,Time Limit Hit,2,Alternate Uses Task,120,0,2026-01-06 21:42:01.110624+00:00
<django.db.models.base.ModelState object at 0x7f236edb5150>,54184,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,1,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,Having a wind turbine at the top of your house to generate electricity,Submitted,13,Design Problems,120,0,2026-01-06 21:43:28.264846+00:00
<django.db.models.base.ModelState object at 0x7f236edb51e0>,54185,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,2,dp-2,Develop as many design ideas as you can to increase the use of renewable energy sources.,Using drain water when it runs to the sewers to create energy ,Time Limit Hit,12,Design Problems,120,0,2026-01-06 21:43:28.267932+00:00
<django.db.models.base.ModelState object at 0x7f236edb5270>,54186,rebeaty,7H4H7DwVobsViprPNEB4jm,test,17,aut-10,PENCIL,test,Submitted,1,Alternate Uses Task,120,0,2026-01-06 21:44:05.352816+00:00
<django.db.models.base.ModelState object at 0x7f236edb5300>,54187,rebeaty,7H4H7DwVobsViprPNEB4jm,test,18,aut-10,PENCIL,EMPTY RESPONSE,Time Limit Hit,2,Alternate Uses Task,120,0,2026-01-06 21:44:05.359613+00:00
<django.db.models.base.ModelState object at 0x7f236edb5390>,54188,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,3,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Introduce a pay per mile and make it expensive ,Submitted,9,Design Problems,120,0,2026-01-06 21:45:35.854380+00:00
<django.db.models.base.ModelState object at 0x7f236edb5420>,54189,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,4,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Create a permit only zones,Submitted,5,Design Problems,120,0,2026-01-06 21:45:35.857623+00:00
<django.db.models.base.ModelState object at 0x7f236edb54b0>,54190,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,5,dp-16,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,EMPTY RESPONSE,Time Limit Hit,2,Design Problems,120,0,2026-01-06 21:45:35.860713+00:00
<django.db.models.base.ModelState object at 0x7f236edb5540>,54191,rebeaty,7H4H7DwVobsViprPNEB4jm,test,19,aut-4,BUCKET,test,Submitted,1,Alternate Uses Task,120,0,2026-01-06 21:46:10.387175+00:00
