prolific_id,achievement_number,CAResp,created_at,ICAA_Score,ICAA_Model
609911e00dd4843e39cb88ac,1,I self taught myself how to play guitar and ukulele from the age of 13 and still play both instruments today. Music is important for my creativity and has helped me be creative is other ways.,37:50.4,3,gpt-4.1
609911e00dd4843e39cb88ac,2,I learned how to speak Indonesian through duolingo and everyday discussions with my friends. I am still not 100% fluent but I felt accomplished when i could have conversations and also understand other peoples conversations.,37:50.4,2,gpt-4.1
609911e00dd4843e39cb88ac,3,I did a week with the Royal Marines and completed their training. It was a week of non stop physical and mental battle. However i managed to complete it due to my own mindset and how I adapted it to the situation.,37:50.4,3,gpt-4.1
6079ff1600ff2b7455e1c3e0,1,"Developed a small game in Unity. It was a Plants vs. Zombies clone, and it was a project for a game design and development course. My professor was impressed with it, especially the art, animations, and characters, which I all created myself using the app ibisPaint. My family was also impressed as well. It's the first game I've ever created from scratch.",03:38.9,3,gpt-4.1
6079ff1600ff2b7455e1c3e0,2,Charcoal still life drawing that I made for a college art course assignment. I would say it's the closest I've ever gotten to hitting photorealism with traditional art. It was praised by my teacher and classmates which I of course felt achievement because of.,03:38.9,4,gpt-4.1
6079ff1600ff2b7455e1c3e0,3,"Baked mini/handheld chicken pot pies and everyone in my family loved it. Not professional, just personal hobby, and I consider cooking a creative outlet. I love making stuff other people can enjoy. There are many instances where I felt a sense of achievement when making food for family, but this one stands out right now.",03:38.9,2,gpt-4.1
68879462acd0ae2c5ecf4b88,1,"I had a short story about the migration of monarch butterflies with accompanying drawings printed out and displayed when I was in 2nd grade. My teacher gushed to my parents about how well I did and how smart I was for my age. I know this sounds dumb but I put a lot of effort into it, and it was the first time anyone had ever said I did a good job on anything I think, so it meant a lot to me.",56:25.7,2,gpt-4.1
68879462acd0ae2c5ecf4b88,2,"I wrote several Tumblr stories about my own life, and then replaced myself and the people involved with various characters and was able to make quite a bit of money off the audience. I think I built a really large following and a lot of people paid me to write different short stories with their favorite characters in them. It was nice to see that people liked the things I wrote.",56:25.7,5,gpt-4.1
68879462acd0ae2c5ecf4b88,3,"I made an anniversary magazine for my significant other using Canva, and sort of did different layouts/spreads for different aspects of our relationship. I'm super into asking hypothetical questions, so I had him ask me some and I did a Q&A style layout. I also did one of trips I wanted to take with him and cut out little clay dolls and made it look like they were traveling. I spent a lot of time and effort on it and I guess I didn't get as much of a reaction as I wanted but I was happy to look at it all and it made me feel good about myself to express love and care for someone through art.",56:25.7,2,gpt-4.1
5c2c62542c45d400014a32e6,1,I created a browser extension for baseball fans. It allowed you to see a baseball player's advanced stats easily without having to go to another tab. It has one 5 star review on Mozilla so far. My Discord mates praised me for it.,20:33.0,4,gpt-4.1
