_state,id,researcher_id,experiment_id,participant_id,trial_num,item_id,item,response,timelimit,word_count,task_type,time_per_trial,left_page,created_at,item_unified,response_unified,google_creativity,anthropic_creativity,xai_creativity,kimi_creativity,mistral_creativity,prediction,modelname,prompt,task,text
<django.db.models.base.ModelState object at 0x7f236edb6f20>,54237,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,42,sctt-hg-5,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,the earth is rotating,Submitted,4,Scientific Creative Thinking Task,120,0,2026-01-06 22:19:58.080214+00:00,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,The earth is rotating,10.0,12.0,10.0,nan,nan,0.52,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is the earth is rotating
<django.db.models.base.ModelState object at 0x7f236edb6fb0>,54238,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,43,sctt-hg-5,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,the stars are moving (shooting stars),Submitted,6,Scientific Creative Thinking Task,120,0,2026-01-06 22:19:58.087673+00:00,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,The stars are moving (shooting stars),10.0,15.0,25.0,nan,nan,0.51,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is the stars are moving (shooting stars)
<django.db.models.base.ModelState object at 0x7f236edb7040>,54239,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,44,sctt-hg-5,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,they're actually asteroids,Time Limit Hit,4,Scientific Creative Thinking Task,120,0,2026-01-06 22:19:58.091906+00:00,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,They're actually asteroids,15.0,15.0,10.0,nan,nan,0.65,SCTT-AI,why stars disappear from the sky,hypothesis,a creative hypothesis for why stars disappear from the sky is they're actually asteroids
<django.db.models.base.ModelState object at 0x7f236edb7160>,54241,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,46,sctt-rq-1,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,do you have emotions ,Submitted,4,Scientific Creative Thinking Task,120,0,2026-01-06 22:24:12.536324+00:00,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,Do you have emotions,15.0,15.0,10.0,nan,nan,0.48,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is do you have emotions 
<django.db.models.base.ModelState object at 0x7f236edb71f0>,54242,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,47,sctt-rq-1,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,can you show empathy ,Submitted,4,Scientific Creative Thinking Task,120,0,2026-01-06 22:24:12.543171+00:00,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,Can you show empathy,20.0,15.0,10.0,nan,nan,0.57,SCTT-AI,a robot that can learn and think like humans,research question,a creative research question for a robot that can learn and think like humans is can you show empathy 
<django.db.models.base.ModelState object at 0x7f236edb7310>,54244,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,49,sctt-rq-2,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,what types of natural food does it produce ,Submitted,8,Scientific Creative Thinking Task,120,0,2026-01-06 22:27:25.004386+00:00,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,what types of natural food does it produce,15.0,18.0,10.0,nan,nan,0.5,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is what types of natural food does it produce 
<django.db.models.base.ModelState object at 0x7f236edb73a0>,54245,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,50,sctt-rq-2,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,how many hours in a day is there on the planet ,Submitted,11,Scientific Creative Thinking Task,120,0,2026-01-06 22:27:25.011293+00:00,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,How many hours in a day is there on the planet,10.0,15.0,10.0,nan,nan,0.59,SCTT-AI,a new planet outside of our galaxy,research question,a creative research question for a new planet outside of our galaxy is how many hours in a day is there on the planet 
<django.db.models.base.ModelState object at 0x7f236edb74c0>,54247,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,52,sctt-rq-5,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,how do you communicate to one another ,Submitted,7,Scientific Creative Thinking Task,120,0,2026-01-06 22:29:35.294636+00:00,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,How do you communicate to one another,10.0,15.0,10.0,nan,nan,0.35,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is how do you communicate to one another 
<django.db.models.base.ModelState object at 0x7f236edb7550>,54248,rebeaty,7H4H7DwVobsViprPNEB4jm,5fb551ccab996500099ab1aa,53,sctt-rq-5,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?, do you write ,Submitted,3,Scientific Creative Thinking Task,120,0,2026-01-06 22:29:35.300546+00:00,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,Do you write,15.0,15.0,10.0,nan,nan,0.45,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is  do you write 
<django.db.models.base.ModelState object at 0x7f236ed98790>,54280,rebeaty,7H4H7DwVobsViprPNEB4jm,609911e00dd4843e39cb88ac,30,sctt-rq-5,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,how do children pick up language? is there your own schooling system?,Submitted,12,Scientific Creative Thinking Task,120,1,2026-01-06 23:57:30.065650+00:00,You travel to a remote island and find people that do not communicate verbally. What scientific questions could you ask about the people of the island?,How do children pick up language? Is there your own schooling system?,20.0,15.0,20.0,nan,nan,0.59,SCTT-AI,a remote island with nonverbal communication,research question,a creative research question for a remote island with nonverbal communication is how do children pick up language? is there your own schooling system?
