prolific_id,item,response,google_rating,anthropic_rating,xai_rating,openai_rating,prediction,modelname,text
5fb551ccab996500099ab1aa,pen-paper-story,"ben was given a pen and paper, using these he wrote a short story about a boy being friends with a bear. he and the bear travelled to the park and to the shopping mall.",15,15,10,15,0.31,MAoSS,"ben was given a pen and paper, using these he wrote a short story about a boy being friends with a bear. he and the bear travelled to the park and to the shopping mall."
609911e00dd4843e39cb88ac,pen-paper-story,"i started school at 4 years old. i remember the weekend before i had started, my mum bought me a pen, pencil and pencil case. i remember the first day i started, i had to trace letters of the alphabet on paper. it took me a few months to be able to write my name.",10,15,10,15,0.26,MAoSS,"i started school at 4 years old. i remember the weekend before i had started, my mum bought me a pen, pencil and pencil case. i remember the first day i started, i had to trace letters of the alphabet on paper. it took me a few months to be able to write my name."
6079ff1600ff2b7455e1c3e0,pen-paper-story,"jessica's autonomous pen could write of its own volition. she felt a tinge of guilt at times as she watched it write her homework assignments for her with only her verbal input. but that feeling could be easily dismissed when she considered that she purchased the pen, and therefore, the pen's work was her own doing. the ideas were also all her own, it didn't make a difference how those ideas made it to the paper.",20,28,40,28,0.5,MAoSS,"jessica's autonomous pen could write of its own volition. she felt a tinge of guilt at times as she watched it write her homework assignments for her with only her verbal input. but that feeling could be easily dismissed when she considered that she purchased the pen, and therefore, the pen's work was her own doing. the ideas were also all her own, it didn't make a difference how those ideas made it to the paper."
68879462acd0ae2c5ecf4b88,pen-paper-story,"he took out a pen and tapped it against his desk. the paper sat bare in front of him; he had been stuck on what to write for what seemed like hours. he stared out of the window at the meadowlark perched atop a tree branch when, suddenly, inspiration began flowing. he scribbled furiously onto the paper, finally able to write his story.",15,18,10,15,0.46,MAoSS,"he took out a pen and tapped it against his desk. the paper sat bare in front of him; he had been stuck on what to write for what seemed like hours. he stared out of the window at the meadowlark perched atop a tree branch when, suddenly, inspiration began flowing. he scribbled furiously onto the paper, finally able to write his story."
5c2c62542c45d400014a32e6,pen-paper-story,"the pen was in desperate need for a human. it could see a piece of paper, but it couldn't use itself. a baby crawled by to pick it up. the baby put it in its mouth. it was never able to write again.",20,18,45,28,0.58,MAoSS,"the pen was in desperate need for a human. it could see a piece of paper, but it couldn't use itself. a baby crawled by to pick it up. the baby put it in its mouth. it was never able to write again."
691371c5d552995298408398,pen-paper-story,"the girl picked up the pen even though her hands were shaking. the paper in front of her was still blank, but heavy with everything she had been avoiding, including her tears. the girl didn’t know what she could possibly write to her ex lover, only that leaving it empty felt worse than saying the wrong thing. the first sentence came out crooked and unsure, but once it existed, she could finally breathe.",15,28,35,20,0.52,MAoSS,"the girl picked up the pen even though her hands were shaking. the paper in front of her was still blank, but heavy with everything she had been avoiding, including her tears. the girl didn’t know what she could possibly write to her ex lover, only that leaving it empty felt worse than saying the wrong thing. the first sentence came out crooked and unsure, but once it existed, she could finally breathe."
6332274d72eff2df47171a78,pen-paper-story,"i had to find a pen and paper to write my story. the trouble is, i don't know what to write about. should it be about this task? or how about how my day went? does everyone have this kind of problem deciding? i think i'll just wrap it up here, because i have no idea where else to go with this.",10,12,10,15,0.27,MAoSS,"i had to find a pen and paper to write my story. the trouble is, i don't know what to write about. should it be about this task? or how about how my day went? does everyone have this kind of problem deciding? i think i'll just wrap it up here, because i have no idea where else to go with this."
60d4edd50a63d7874c704979,pen-paper-story,"i went into my room after a long day and saw a pen tremble on my desk. the pen began to move as if ti was alive. it seemed to look around and was looking for something. as soon as it saw paper it flew straight at it and began to write a message on it. i looked at the paper and it said help, the pen stopped moving",20,28,35,28,0.58,MAoSS,"i went into my room after a long day and saw a pen tremble on my desk. the pen began to move as if ti was alive. it seemed to look around and was looking for something. as soon as it saw paper it flew straight at it and began to write a message on it. i looked at the paper and it said help, the pen stopped moving"
67c60b46b619cad09b65ab51,pen-paper-story,the teacher has always encouraged us to write notes on a piece of paper. this is a good gesture as it enables as to remember important points in future. the use of pen make it possible for notes to last for a long period. this is a good learning method.,10,12,10,10,0.24,MAoSS,the teacher has always encouraged us to write notes on a piece of paper. this is a good gesture as it enables as to remember important points in future. the use of pen make it possible for notes to last for a long period. this is a good learning method.
65c10d8000af1af81e3f42ec,pen-paper-story,when arriving to school each day the children always make sure they have all of their supplies for the day. the first thing they do is take out a pencil and some paper so that they are ready to take notes and learn. in the classroom we never use a pen. we don't use pen so that we are able to correct mistakes.,10,15,10,15,0.25,MAoSS,when arriving to school each day the children always make sure they have all of their supplies for the day. the first thing they do is take out a pencil and some paper so that they are ready to take notes and learn. in the classroom we never use a pen. we don't use pen so that we are able to correct mistakes.
692f221e98e3cdcf10465812,pen-paper-story,"there was once a guy named dave who had all we wanted in life. he had the girl of his dreams, a beautiful set of twins, and a house bigger than teh trump hotel. however, all he ever wanted was to write novels. this was his goal all along, but because of how scarce items like pen and paper were, he knew he could never do it.",15,18,20,20,0.48,MAoSS,"there was once a guy named dave who had all we wanted in life. he had the girl of his dreams, a beautiful set of twins, and a house bigger than teh trump hotel. however, all he ever wanted was to write novels. this was his goal all along, but because of how scarce items like pen and paper were, he knew he could never do it."
6637b21240220c2517fffa1a,pen-paper-story,"darcy knew she had to get this over with.  she was dreading it but she knew if she didn't tell bill what she was thinking, she'd regret it. she took out a piece of pink paper and grabbed her tul pen and started to write. ""i hate you,"" she wrote. ""i've always hated you and nothing you can do will ever change that. you may talk me into staying again, but i need you to know that i hate you so much and i'll hate you more than anyone on earth."" she paused for second, sucking on the tip of her pen and continued, ""you called me fat, and for that i'll never forgive you. in fact, i want you to die horribly. thank you for your attention to this matter!""",15,28,35,24,0.61,MAoSS,"darcy knew she had to get this over with.  she was dreading it but she knew if she didn't tell bill what she was thinking, she'd regret it. she took out a piece of pink paper and grabbed her tul pen and started to write. ""i hate you,"" she wrote. ""i've always hated you and nothing you can do will ever change that. you may talk me into staying again, but i need you to know that i hate you so much and i'll hate you more than anyone on earth."" she paused for second, sucking on the tip of her pen and continued, ""you called me fat, and for that i'll never forgive you. in fact, i want you to die horribly. thank you for your attention to this matter!"""
5c7ceda01d2afc0001f4ad1d,pen-paper-story,"he plucked the pen from the ground and stared at it. the shaft was dirty but the nib glistened with fresh ink. he sat back down at his desk and frowned at the blank page before him. it stared dumbly back, taunting him it seemed. would he ever find that spark again to write?",15,22,30,20,0.49,MAoSS,"he plucked the pen from the ground and stared at it. the shaft was dirty but the nib glistened with fresh ink. he sat back down at his desk and frowned at the blank page before him. it stared dumbly back, taunting him it seemed. would he ever find that spark again to write?"
5fd66ce8aec66457ff73d743,pen-paper-story,i want to write a story. in order to do that i need to have a pen so i can write. then i also need paper. once i get these items i can write a story.,10,12,10,10,0.19,MAoSS,i want to write a story. in order to do that i need to have a pen so i can write. then i also need paper. once i get these items i can write a story.
5cab22cd68194f001511b2d6,pen-paper-story,"there once was a pen called inky who had a desperate need to write a story. he ventured into the office of the house he lived in and spotted a book, open on the large oak table. inky hopped up onto the table and gasped as he saw the fresh white sheet of paper, blank, waiting to be used. inky thought for a moment and then glided over the white parchment paper and began to write his story. he didn't stop writing until all the pages had been filled and his masterpiece was complete.",20,18,35,25,0.5,MAoSS,"there once was a pen called inky who had a desperate need to write a story. he ventured into the office of the house he lived in and spotted a book, open on the large oak table. inky hopped up onto the table and gasped as he saw the fresh white sheet of paper, blank, waiting to be used. inky thought for a moment and then glided over the white parchment paper and began to write his story. he didn't stop writing until all the pages had been filled and his masterpiece was complete."
65a3eae145bd7a121b03e953,pen-paper-story,jimmy was peparing for his exam. he was equipped with everything he needed to revise. his pen and paper. however jimmy had never felt so anxious about an exam before. it felt like he had a million things running through his head. he just couldnt write anything down!,10,18,10,15,0.26,MAoSS,jimmy was peparing for his exam. he was equipped with everything he needed to revise. his pen and paper. however jimmy had never felt so anxious about an exam before. it felt like he had a million things running through his head. he just couldnt write anything down!
63fa78f21e485a372c6528fa,pen-paper-story,"not too long ago, i sat down and began to write a letter i set everything up in place, my pen was right there on the desk already. as i set off to find the paper, i became distracted and caught up in tasks and chores. the needs of daily life took over, and the story remains unwritten.",15,18,25,15,0.28,MAoSS,"not too long ago, i sat down and began to write a letter i set everything up in place, my pen was right there on the desk already. as i set off to find the paper, i became distracted and caught up in tasks and chores. the needs of daily life took over, and the story remains unwritten."
6779ab59311fd2904146f0d7,pen-paper-story,can i use you pen and paper to write a letter to my dad,10,12,10,12,0.19,MAoSS,can i use you pen and paper to write a letter to my dad
66b828d453598bcca42608c1,pen-paper-story,"mary picked up her sparkly pink pen and picked up a piece of lavender scented paper. she was ready to write her crush a letter, professing her feelings for him. mary hoped he'd like the smell of her special paper. it was her signature scent.",10,18,25,20,0.46,MAoSS,"mary picked up her sparkly pink pen and picked up a piece of lavender scented paper. she was ready to write her crush a letter, professing her feelings for him. mary hoped he'd like the smell of her special paper. it was her signature scent."
5dd7f591ad0a617838322129,pen-paper-story,"the author looked at the blank paper. a new story to write, a whole new world to create. she looked out the window at the children playing in the park, at the litter blowing in the street, at the sun glinting off the puddles left by yesterday's rain. she picked up her pen and began to write.",15,18,20,15,0.44,MAoSS,"the author looked at the blank paper. a new story to write, a whole new world to create. she looked out the window at the children playing in the park, at the litter blowing in the street, at the sun glinting off the puddles left by yesterday's rain. she picked up her pen and began to write."
6941aeb9a019a9bbdd57d028,pen-paper-story,"denise worked at her high school paper. she really enjoyed having stories to write. for one story, she visited a farm. at the farm, they kept pigs in a pen. she later had a successful career in journalism.",15,15,20,15,0.31,MAoSS,"denise worked at her high school paper. she really enjoyed having stories to write. for one story, she visited a farm. at the farm, they kept pigs in a pen. she later had a successful career in journalism."
66ccbb7d4109382e498e3c82,pen-paper-story,i wanted to create my own little nursery rhyme type story for my children but didn't know where to start. i gathered my pen and paper but when i tried to write i got stuck. eventually the story started to come together and it was actually really fun once i got into the groove. now i have a bunch of ideas and plan to write a few more stories.,15,15,10,15,0.28,MAoSS,i wanted to create my own little nursery rhyme type story for my children but didn't know where to start. i gathered my pen and paper but when i tried to write i got stuck. eventually the story started to come together and it was actually really fun once i got into the groove. now i have a bunch of ideas and plan to write a few more stories.
6544fd514964fea23051c3b7,pen-paper-story,"he picked up his pen to write a script for his upcoming movie project but there was an issue: he had writer's block and seems unable to pen anything down on the paper that laid on the table. he stared at the empty white paper, attempting to drive his thoughts to produce or provoke something, but his efforts seemed futile",10,18,15,15,0.37,MAoSS,"he picked up his pen to write a script for his upcoming movie project but there was an issue: he had writer's block and seems unable to pen anything down on the paper that laid on the table. he stared at the empty white paper, attempting to drive his thoughts to produce or provoke something, but his efforts seemed futile"
6658ca2b92efe5c33798f1b4,pen-paper-story,i had an essay to complete and i realised i had nothing to write it with or on. i went off to the shops but it was so slippy that i landed on my bum. when i finally got to the shop i managed to find a pen and some paper. i made the treacherous walk home through the ice. when i made it home i was not even in the mood to write.,15,18,15,20,0.32,MAoSS,i had an essay to complete and i realised i had nothing to write it with or on. i went off to the shops but it was so slippy that i landed on my bum. when i finally got to the shop i managed to find a pen and some paper. i made the treacherous walk home through the ice. when i made it home i was not even in the mood to write.
67aae2b5797af1e296927d2a,pen-paper-story,"as she sat under the old tree, she picked up her favorite pen and started to scribble on the blank paper. she began to write the story she'd been dreaming of, and the words flowed effortlessly. with each stroke, her imagination came alive, and the characters leaped off the page. the paper filled with life, and she felt a sense of satisfaction.",15,18,10,20,0.42,MAoSS,"as she sat under the old tree, she picked up her favorite pen and started to scribble on the blank paper. she began to write the story she'd been dreaming of, and the words flowed effortlessly. with each stroke, her imagination came alive, and the characters leaped off the page. the paper filled with life, and she felt a sense of satisfaction."
654a44f0addb5f41f1705b75,pen-paper-story,"when i want to write, i prefer to put pen to paper. i don't think anything can replace that. i know there are tablets, but there's just something about the tactile feeling i get from writing on paper. fortunately, there are now more innovative and sustainable ways to write on paper. this has separated my from a lot of my colleagues over the years and i think my performance has aligned with the many scientific studies that support writing on paper.",10,18,10,15,0.39,MAoSS,"when i want to write, i prefer to put pen to paper. i don't think anything can replace that. i know there are tablets, but there's just something about the tactile feeling i get from writing on paper. fortunately, there are now more innovative and sustainable ways to write on paper. this has separated my from a lot of my colleagues over the years and i think my performance has aligned with the many scientific studies that support writing on paper."
