prolific_id,participant_id,id,Prompt,Response,google_rating,anthropic_rating,xai_rating,openai_rating
609911e00dd4843e39cb88ac,2,1,The strong wind is,the breath of god,15.0,28.0,25.0,20.0
6079ff1600ff2b7455e1c3e0,3,2,The strong wind is,a persistent push against my front.,15.0,28.0,15.0,15.0
68879462acd0ae2c5ecf4b88,4,3,The strong wind is,ghostly,15.0,15.0,10.0,20.0
5c2c62542c45d400014a32e6,5,4,The strong wind is,punishing,15.0,15.0,15.0,20.0
691371c5d552995298408398,8,5,The strong wind is,"A wild painter, smearing clouds in the sky",34.0,35.0,35.0,40.0
60d4edd50a63d7874c704979,7,6,The strong wind is,Like a rageing bull,10.0,15.0,15.0,15.0
6332274d72eff2df47171a78,6,7,The strong wind is,like a way y,10.0,10.0,10.0,10.0
67c60b46b619cad09b65ab51,9,8,The strong wind is,elephant,30.0,15.0,10.0,40.0
65c10d8000af1af81e3f42ec,10,9,The strong wind is,moving fast like a hawk,15.0,15.0,15.0,15.0
692f221e98e3cdcf10465812,11,10,The strong wind is,a slamm,15.0,15.0,10.0,10.0
6637b21240220c2517fffa1a,12,11,The strong wind is,a hand pushing me from behind.,15.0,28.0,20.0,20.0
5c7ceda01d2afc0001f4ad1d,13,12,The strong wind is,like a freight train,10.0,15.0,15.0,15.0
5fd66ce8aec66457ff73d743,16,13,The strong wind is,fierce,10.0,15.0,10.0,15.0
5cab22cd68194f001511b2d6,14,14,The strong wind is,god blowing.,15.0,35.0,10.0,20.0
65a3eae145bd7a121b03e953,17,15,The strong wind is,peircing,10.0,15.0,10.0,20.0
63fa78f21e485a372c6528fa,15,16,The strong wind is,like an howling wolf,10.0,15.0,15.0,15.0
6779ab59311fd2904146f0d7,19,17,The strong wind is,COLD,10.0,15.0,10.0,10.0
66b828d453598bcca42608c1,18,18,The strong wind is,"a rocket ship, blasting over the land.",20.0,15.0,20.0,30.0
5dd7f591ad0a617838322129,20,19,The strong wind is,lashing at your overcoat,15.0,35.0,25.0,30.0
6544fd514964fea23051c3b7,22,20,The strong wind is,therapeutic,15.0,15.0,10.0,20.0
66ccbb7d4109382e498e3c82,21,21,The strong wind is,blowing like a hurricane,10.0,18.0,15.0,15.0
67aae2b5797af1e296927d2a,24,22,The strong wind is,a roaring l,10.0,10.0,10.0,20.0
654a44f0addb5f41f1705b75,23,23,The strong wind is,angry,10.0,15.0,10.0,20.0
60ac66a8e1bf5a1c51fa864c,26,24,The strong wind is,an uninvited guest,20.0,15.0,20.0,15.0
6658ca2b92efe5c33798f1b4,25,25,The strong wind is,powerful like a horse,10.0,15.0,10.0,15.0
63d7abeeb49ad49fa7545e44,27,26,The strong wind is,like a breath of fresh air,10.0,15.0,10.0,10.0
631745a70c7c585248df1a5d,28,27,The strong wind is,blowing more than my child with bubbles,15.0,15.0,35.0,22.0
5e32c95c87b8ef28e5aff6ea,29,28,The strong wind is,the strong wind is harsh like a slap.,15.0,15.0,25.0,15.0
674bea1eb044fbe75795fef1,30,29,The strong wind is,H,10.0,10.0,10.0,10.0
5dd86f98e9a0ba81a7f5e099,31,30,The strong wind is,strong,10.0,15.0,10.0,10.0
5d45521afdaaad00010ec185,34,31,The strong wind is,,10.0,10.0,10.0,10.0
659c0682d109f8537a89fdd3,35,32,The strong wind is,flowing through my soul,15.0,15.0,15.0,20.0
6658d02b830a00e979619fb8,33,33,The strong wind is,Blissful,15.0,15.0,10.0,10.0
5a8b1ee2000dab00018cc7cd,38,34,The strong wind is,tough as a wall.,10.0,15.0,10.0,15.0
55bb9ae7fdf99b26d27fda01,39,35,The strong wind is,hard as rocks,10.0,15.0,10.0,10.0
5e729511e05cd902cc7699a4,32,36,The strong wind is,heavy,15.0,15.0,10.0,10.0
665ee0800a4d97ea0026ff34,36,37,The strong wind is,a hurricane,10.0,15.0,10.0,10.0
5b421b9ac2e3810001763252,40,38,The strong wind is,like a flock of seagulls,20.0,15.0,15.0,15.0
5fd63cb585f88c4eb1933661,37,39,The strong wind is,The strong wind is pulling me in directions.,12.0,15.0,15.0,15.0
69203091564a7d1a74700ed4,41,40,The strong wind is,like the cackle of a tipsy witch,35.0,38.0,35.0,35.0
60cf0d251a90eb823bc9b740,43,41,The strong wind is,piercing,10.0,28.0,20.0,20.0
6941e60f2c7507f1915682c3,42,42,The strong wind is,cp,10.0,10.0,10.0,10.0
5f39a2fd2d394917284dd66f,45,43,The strong wind is,glacierly cold,10.0,15.0,20.0,20.0
69138ed04690ca3fa74ef563,44,44,The strong wind is,whistleing,10.0,35.0,10.0,20.0
6941aeb9a019a9bbdd57d028,46,45,The strong wind is,sharp like a knife,10.0,15.0,10.0,10.0
676556ccb7aac9ede13d73c9,47,46,The strong wind is,feeling like god is blowing down wind tu,15.0,35.0,15.0,30.0
5929c96027ea400001301061,48,47,The strong wind is,pushing me  like a todler that wants,25.0,15.0,15.0,15.0
5e5a96f5a2f2c528edf70f6e,49,48,The strong wind is,Like a deamons breath,20.0,28.0,20.0,40.0
5eca536f9aa4f658d641a7d9,50,49,The strong wind is,tough,10.0,15.0,10.0,10.0
66db9db4324609f1a7231f49,51,50,The strong wind is,a slap in the face,10.0,15.0,15.0,20.0
5591cd21fdf99b63126f6c60,53,51,The strong wind is,uplifting to the soul,10.0,25.0,15.0,15.0
65e64c08cd1bf3d6ab957af7,52,52,The strong wind is,loud as the breeze.,10.0,15.0,10.0,20.0
5efa33c4e9f4160ffd817db9,54,53,The strong wind is,as powerful as a sucker punch,15.0,28.0,35.0,30.0
66cb2e0bd2169db778550269,57,54,The strong wind is,like a wake up call,15.0,15.0,15.0,10.0
663f7196a07afa04b277db38,55,55,The strong wind is,a like a hurricane blowing,10.0,15.0,10.0,15.0
5ca9d0224f3e9d00164426f3,58,56,The strong wind is,like a steel wall,15.0,15.0,10.0,15.0
63ae31ff5c725a41082afc56,56,57,The strong wind is,as the hurricane,10.0,15.0,10.0,10.0
6344b4073207c88c1cf5b49f,60,58,The strong wind is,a storm,10.0,15.0,10.0,10.0
67dd49c5b86cdc10df6d7e70,59,59,The strong wind is,very strong lately,10.0,10.0,10.0,10.0
67dd49c5b86cdc10df6d7e70,59,60,The strong wind is,very strong lately,10.0,10.0,10.0,10.0
67606663e5ad15d60ffeb222,62,61,The strong wind is,a test,10.0,15.0,10.0,10.0
652359572fd30ff57dfea7fb,61,62,The strong wind is,like Superman's breath.,25.0,15.0,25.0,20.0
67c71b1e1c4622620884df57,63,63,The strong wind is,gusting like a hurricane,10.0,15.0,15.0,15.0
677580b9fa6b77a8332d2237,64,64,The strong wind is,like God's fart,30.0,15.0,35.0,38.0
66ef212cf79668f34be612d8,65,65,The strong wind is,fierce,10.0,15.0,10.0,10.0
65e4a6bdde84e615dcac2651,69,66,The strong wind is,as strong as the smell of blue cheese,30.0,28.0,25.0,40.0
5c7ea15cb215c6000122b48d,68,67,The strong wind is,,10.0,10.0,10.0,10.0
66b507cc1a7e164991afbe17,67,68,The strong wind is,,10.0,10.0,10.0,10.0
66c6683f6336ebf638da4db4,66,69,The strong wind is,the strong wind is like a huricane,10.0,15.0,10.0,10.0
5ed94af267e7bf10f180c5b0,71,70,The strong wind is,as noisy as a crying baby,15.0,15.0,10.0,10.0
5c01bf7d4c14cf00019ce2a4,70,71,The strong wind is,howling like a wolf.,10.0,15.0,15.0,15.0
66a02d45a7db35d93c9f6a81,72,72,The strong wind is,a brick wall,15.0,15.0,10.0,20.0
665e680164927b18554b66ec,73,73,The strong wind is,like a strong wrestler.,10.0,15.0,10.0,10.0
670da3fd0b8a2f7a542a2b24,74,74,The strong wind is,as cold as Christmas,10.0,15.0,35.0,20.0
5f84e472052cf81ae5752252,75,75,The strong wind is,a mentor,35.0,15.0,10.0,40.0
6604cab7499d144f955a7c9d,76,76,The strong wind is,a roaring beast.,15.0,15.0,20.0,15.0
694580e0f1757dd9295e5cb9,77,77,The strong wind is,was as cold as ice.,10.0,15.0,10.0,10.0
64136e2bd31ba4a3a7c16ddc,78,78,The strong wind is,cutting like a knife.,10.0,15.0,10.0,10.0
653ed34dfa601f3952c72ed4,79,79,The strong wind is,"a lion, rushing with speed and strength.",10.0,15.0,15.0,15.0
6779c8fd10ec19bf89b5f9d8,80,80,The strong wind is,wild horse dancing la,20.0,15.0,10.0,40.0
69531a58a97fe5b6ab460380,81,81,The strong wind is,a slap to the face.,10.0,15.0,15.0,15.0
67356f7cf6ff16fe3322a837,82,82,The strong wind is,very strong,10.0,10.0,10.0,10.0
5c36e40e299f82000103ce0a,84,83,The strong wind is,like an ox.,20.0,15.0,10.0,10.0
5b985404a15058000124e508,83,84,The strong wind is,a raging beast,10.0,15.0,15.0,15.0
631610af8e747093cd90e00d,86,85,The strong wind is,blowing like,10.0,15.0,10.0,10.0
603ea566289f8b0f4f035358,87,86,The strong wind is,a sneeze of the gods.,30.0,38.0,35.0,40.0
6951dc0e3bdca9185a3420a1,90,87,The strong wind is,inspiring,10.0,15.0,10.0,10.0
66c0d9ef3c9b1d596446f813,91,88,The strong wind is,like a dragon breathing.,20.0,28.0,15.0,20.0
67d0a4ccb5587fff790273a7,85,89,The strong wind is,,10.0,10.0,10.0,10.0
63f6921f294f32b36bb1179e,89,90,The strong wind is,blowing my garden away,10.0,28.0,25.0,20.0
6941ba7773700f50256ddafe,88,91,The strong wind is,as an invivle hand o,15.0,10.0,10.0,20.0
66019f5e10adbe524f2a844a,93,92,The strong wind is,is like a hairdryer to her hair as she walks,15.0,35.0,35.0,20.0
668f0aa2dc96efe3c92449c9,99,93,The strong wind is,like a force pulling you away,10.0,15.0,15.0,15.0
6012ed349807110d8eb941a6,97,94,The strong wind is,a giant's breath.,20.0,28.0,25.0,20.0
5ef08aa7177a735c78ffbf40,95,95,The strong wind is,a Godly breath,15.0,28.0,20.0,20.0
66eeda2bc7d6e9b92b4a81c0,94,96,The strong wind is,,10.0,10.0,10.0,10.0
5ec28db2622c500632dc95bc,98,97,The strong wind is,as strong as an ox,10.0,15.0,10.0,10.0
69136c7df68dcde570c33956,100,98,The strong wind is,The strong wind is like a space ship rising to the sky.,20.0,18.0,20.0,20.0
6020b4d4010b8e6e89d1a6a0,96,99,The strong wind is,ba,10.0,10.0,10.0,10.0
6785704c3b1ab8813a4958b0,102,100,The strong wind is,the wind is strong like a horse pulling on it's reigns,25.0,18.0,25.0,20.0
671f93838d7481cd8a0d137d,101,101,The strong wind is,The strong wind is blowing like a huge furnace fan that will relentlessly overheat everything.,20.0,28.0,25.0,30.0
6613fbd97d84091e654e5ca6,105,102,The strong wind is,blowing me away,10.0,15.0,15.0,10.0
65de3af8fcbc6ef9331bd863,106,103,The strong wind is,a wave against the runner.,25.0,28.0,25.0,30.0
663b52235d299050aeb29aca,103,104,The strong wind is,"is a restless painter,",35.0,28.0,25.0,30.0
63cc90d2bed7edb18c3fd155,107,105,The strong wind is,a battering ram,15.0,28.0,20.0,20.0
69332055a26312923a56605b,104,106,The strong wind is,the strong wind was a w,10.0,10.0,10.0,10.0
67f2b914d702155cbc0a3a2c,108,107,The strong wind is,like a shoving hand,15.0,15.0,20.0,20.0
62911ef14fd68295d60ba83b,109,108,The strong wind is,,10.0,10.0,10.0,10.0
669424e6b661e0a098ec66a4,111,109,The strong wind is,like a smelly,10.0,10.0,10.0,10.0
695c6b4f435bc06369113b97,112,110,The strong wind is,,10.0,10.0,10.0,10.0
5b5e0e86902ad10001cfcc59,110,111,The strong wind is,a tornado,10.0,15.0,10.0,10.0
6660ab8eeaa4f5e8a6a4d223,113,112,The strong wind is,like a tidal wave of,15.0,15.0,10.0,10.0
656535cfb6e6bea3d8637deb,115,113,The strong wind is,but the breath of a lonely giant.,30.0,38.0,35.0,40.0
66971f1f9181bdc85972b84d,116,114,The strong wind is,guste,10.0,,10.0,10.0
5b98940f754b700001f0f15c,114,115,The strong wind is,gusting,10.0,15.0,10.0,15.0
5edeea354d54cb1a825aa8f9,117,116,The strong wind is,blasting,10.0,15.0,25.0,20.0
607a7b7d300ce256f51706bd,118,117,The strong wind is,The strong wind is like a knife cutting through bread,15.0,15.0,25.0,20.0
69136dffc23976053d4a4166,120,118,The strong wind is,like my father.,20.0,15.0,10.0,10.0
66d4407f31981698998d25d8,119,119,The strong wind is,The strong wind is my guardian,15.0,22.0,15.0,30.0
609a3eb31cacec1cad4b9448,125,120,The strong wind is,Sharp as a knife,10.0,15.0,10.0,10.0
64c9892e8e7e06812b775c0c,121,121,The strong wind is,a gentle beast.,20.0,28.0,25.0,20.0
56e225c2ec0fdd000641e72d,122,122,The strong wind is,roaring like a lion,10.0,15.0,15.0,15.0
5bca67940f10750001d75f9f,123,123,The strong wind is,As foreceful as a tormado,10.0,15.0,10.0,15.0
694f357ffcfc4439fcc9545d,126,124,The strong wind is,w,10.0,10.0,10.0,10.0
63d42c21dc6f4d60e34cc337,124,125,The strong wind is,is as strong as their bond,10.0,15.0,10.0,10.0
62b44f66a16d45783569fad6,127,126,The strong wind is,like a ballon letting out air,15.0,22.0,20.0,20.0
6551469abe377d3646c6cd6e,129,127,The strong wind is,as fierce as a bull,10.0,15.0,15.0,15.0
6584589847e4652b2516d4b3,128,128,The strong wind is,like a slapping hand,15.0,28.0,15.0,20.0
6100372e3a116cb5cb36ebea,130,129,The strong wind is,,10.0,10.0,10.0,10.0
5b735a4c3503c60001a891b7,131,130,The strong wind is,defiant,20.0,15.0,10.0,20.0
666aef80f189d775a0f2554e,132,131,The strong wind is,wipping,10.0,35.0,10.0,10.0
65076318d067065e1257a025,134,132,The strong wind is,"enveloping the trees, like a tight hug.",15.0,28.0,20.0,15.0
6682fb350787f54e89d4001b,136,133,The strong wind is,,10.0,10.0,10.0,10.0
6101f4093ed452ae3b6d5ab9,137,134,The strong wind is,a dragon,15.0,15.0,10.0,20.0
66e7a809808daaac1a79dd40,135,135,The strong wind is,firey like the wind,10.0,15.0,15.0,15.0
636d39168fe0bc0570ee8da0,133,136,The strong wind is,Blasting like the exhaust form a spaceship,20.0,35.0,25.0,30.0
6653e566a1dd567008582c28,138,137,The strong wind is,like an elephant blowing its nose,32.0,28.0,35.0,30.0
66b4c93eba2cec5de17809,140,138,The strong wind is,sometimes harsher when you travel in the proper direction.,32.0,35.0,15.0,20.0
612adba08b8235b31539c704,141,139,The strong wind is,like a hurric,10.0,10.0,10.0,10.0
69458f2aa5309848951f9026,143,140,The strong wind is,like Muhammed Ali,25.0,15.0,10.0,15.0
69416ab139b4b8d585aa4848,144,141,The strong wind is,blowing me around like a piece of paper,15.0,28.0,25.0,15.0
5c91658e319e1200014f6f9b,142,142,The strong wind is,The fuel in my sails on the seas,20.0,28.0,20.0,20.0
67777187e7ba2f3ced22e601,146,143,The strong wind is,mean,10.0,15.0,10.0,10.0
66faa830ac165a79e559da2a,139,144,The strong wind is,the strong wind is like a thief rifling through treetops,32.0,28.0,35.0,40.0
5ef3bdbee9ae7a16241451c1,145,145,The strong wind is,Is as strong as,10.0,10.0,10.0,10.0
6466685f630eb8c3f8856e5e,147,146,The strong wind is,howling like a banshee.,10.0,22.0,25.0,20.0
642ead184d7533ccfd57d888,151,147,The strong wind is,The strong wind is a restless painter.,30.0,28.0,35.0,38.0
694afcabf04cdd6752673eea,149,148,The strong wind is,like a bellows,15.0,28.0,20.0,15.0
662973533159df515afdd606,150,149,The strong wind is,like dragon wings buffeting an entire village of paragliders.,40.0,38.0,42.0,45.0
60dc4e2299f89a7ca94b2c91,148,150,The strong wind is,"a restless artist, painti",32.0,35.0,10.0,40.0
676dcbd74fba5b642d1e2f01,152,151,The strong wind is,drummer,25.0,35.0,10.0,30.0
676055469b245b53e81358d0,153,152,The strong wind is,lively,10.0,15.0,10.0,10.0
66fd3f6c93c24ecc119be354,155,153,The strong wind is,the sign of a good curry,35.0,15.0,10.0,10.0
663a28078139647b4663d09f,156,154,The strong wind is,like being scrubbed with a sponge,25.0,15.0,15.0,15.0
6662f201ccf41c36e7408562,154,155,The strong wind is,like a hairdryer drying my hair,10.0,15.0,10.0,15.0
676b89007874c8eace113276,158,156,The strong wind is,an immovable brick wall,15.0,15.0,15.0,10.0
62d6d77df59450e545fb22f6,157,157,The strong wind is,like a bulldozer,15.0,15.0,15.0,15.0
5c309bb410677f0001dda0ed,159,158,The strong wind is,loud as a locomotive.,10.0,15.0,15.0,15.0
654e38a9bd1961e9942af916,161,159,The strong wind is,deafening,10.0,35.0,10.0,20.0
654e38a9bd1961e9942af916,161,160,The strong wind is,deafening,10.0,35.0,10.0,20.0
67ed8a9ef13251ff7c8b66a8,160,161,The strong wind is,an angry voice shouting through the air,15.0,22.0,15.0,15.0
5ff07b5ee7a1d23e719e421e,163,162,The strong wind is,evil enemy,10.0,15.0,10.0,10.0
6658bbefeacd7bcadeef885f,165,163,The strong wind is,The strong wind is a fierce lion.,10.0,15.0,20.0,20.0
615eda024a5f84f408625b4f,164,164,The strong wind is,like a hairdryer on gone wi,15.0,15.0,25.0,40.0
69263215845d92c2cd3a2882,162,165,The strong wind is,as wild as a jungle.,10.0,15.0,10.0,15.0
62e02b26e879244a99e852fa,166,166,The strong wind is,as hard as pack ice,20.0,28.0,25.0,30.0
67e92dbd9199b830fbecdf2e,167,167,The strong wind is,blowing whistles,15.0,15.0,25.0,20.0
671038fb26ff82aa6081d040,168,168,The strong wind is,like the tide,15.0,15.0,10.0,15.0
676060d8382a3f0292c2c788,169,169,The strong wind is,monstrous,15.0,15.0,10.0,20.0
63d50bed33ba8cb1b9794938,170,170,The strong wind is,like the words of Mother Earth herself.,15.0,28.0,20.0,20.0
65313bdcb9fd825a8c1d4981,174,171,The strong wind is,howling like wolf,10.0,15.0,15.0,15.0
5d66f49c531d6e0001e99e8a,172,172,The strong wind is,like a lions roar,10.0,15.0,15.0,15.0
65c242831388550b0a42bd25,173,173,The strong wind is,like God's breath,15.0,28.0,20.0,20.0
652ae54b698bbd5c18c0c90e,171,174,The strong wind is,like a hair dryer,15.0,15.0,10.0,30.0
691505db42a79f417daadef7,177,175,The strong wind is,"...is like a fist, slamming Jeffrey to the ground",20.0,28.0,25.0,15.0
668edb3b608a3d4537e2da08,176,176,The strong wind is,The strong wind is a roaring lion,15.0,15.0,20.0,20.0
5751b9a8702d130006285f79,175,177,The strong wind is,a punch,10.0,15.0,10.0,15.0
5c0bac19796adb00017dffcf,178,178,The strong wind is,teh strong wind is a wild dancer,20.0,28.0,15.0,30.0
6845fad63da7756677508375,179,179,The strong wind is,roaring,10.0,25.0,15.0,20.0
66afcaa60f7d8f58dc21db8e,181,180,The strong wind is,wild,10.0,15.0,10.0,10.0
64df6c0375d740bb235620f5,180,181,The strong wind is,like a blade.,15.0,15.0,10.0,15.0
64df6c0375d740bb235620f5,180,182,The strong wind is,like a blade.,15.0,15.0,10.0,15.0
6786d7955dfbf40eae7ed3d9,182,183,The strong wind is,spinning in my mind,15.0,15.0,20.0,15.0
67606c975d33dc79c280063e,183,184,The strong wind is,"The strong wind is a restless painter, sweeping colours across the sky",30.0,28.0,42.0,40.0
69138fc0acb88a6d2a6f8fb8,184,185,The strong wind is,worth noticing.,10.0,15.0,10.0,10.0
5d89106d1719af0001ee23e5,185,186,The strong wind is,The strong wind is knocking down trees like,10.0,35.0,10.0,10.0
603710141b1ed2313448234a,186,187,The strong wind is,a tidal wave.,15.0,15.0,10.0,10.0
628f572a2d1304a34b9e1a37,187,188,The strong wind is,The strong wind is like,10.0,10.0,10.0,10.0
588ab33542c8e900019d02ae,189,189,The strong wind is,like a giant punching me in the face.,15.0,15.0,20.0,20.0
57c74977b23f0e000182dc3f,188,190,The strong wind is,enough to break the windows,10.0,15.0,15.0,15.0
69237b666aff01eb02646944,192,191,The strong wind is,raging like a bull,10.0,15.0,15.0,15.0
659583e0d5fab84895bfac7c,190,192,The strong wind is,as is pure as clouds of heaven,15.0,15.0,15.0,15.0
668aa0851622bf0930ff12fc,194,193,The strong wind is,brutal and hugs thetyree,20.0,10.0,10.0,40.0
6784133089e3f78e0e08c94d,191,194,The strong wind is,dancing,15.0,28.0,10.0,20.0
60154af277ec314fd8fe1449,198,195,The strong wind is,like a rugby player,25.0,15.0,10.0,20.0
67d9ef30fe8af2858e8dbbd3,193,196,The strong wind is,ranging,20.0,15.0,10.0,10.0
66928f171518765c5f8cea5b,195,197,The strong wind is,a wild drummer,25.0,18.0,20.0,20.0
6767202a0793489cda4738d2,196,198,The strong wind is,clear as the sea,15.0,15.0,15.0,30.0
67fbe9a435667f13b9bb1371,199,199,The strong wind is,blowing on all things,10.0,28.0,15.0,20.0
663a422b52cb5c270f98f3ff,201,200,The strong wind is,like a stone thrown at your waist.,25.0,15.0,20.0,20.0
5d558ebe886e3f0020e90fce,202,201,The strong wind is,like an ox,15.0,15.0,10.0,15.0
65c243c37e0d77ca70ee030e,200,202,The strong wind is,howling,10.0,28.0,15.0,20.0
63d432e27555fb4b5785cfcd,203,203,The strong wind is,iron,35.0,15.0,10.0,15.0
63d432e27555fb4b5785cfcd,203,204,The strong wind is,iron,30.0,15.0,10.0,15.0
672451c5f4e558e08242d746,197,205,The strong wind is,blowing,10.0,15.0,10.0,10.0
63474e67a5fd298c6103c409,204,206,The strong wind is,"restless painter, smudging the sky with invisible stroke",40.0,38.0,40.0,40.0
677fb35eafd357a07e351a9f,205,207,The strong wind is,as a hurricane,10.0,15.0,10.0,10.0
5e38397719e44f0244389781,206,208,The strong wind is,My uncles fart,15.0,15.0,10.0,40.0
60b542b8fbb1a6a2678f5054,207,209,The strong wind is,howling like a dog.,10.0,15.0,10.0,10.0
63f782f160eb53150d24c549,208,210,The strong wind is,Blowing a gale,10.0,15.0,15.0,15.0
682a1996cd2cfa1f1160cb71,209,211,The strong wind is,whirly,10.0,15.0,15.0,20.0
574aff1b5bef980007af2745,211,212,The strong wind is,,10.0,10.0,10.0,10.0
6266a4e5846e1e41812a0432,214,213,The strong wind is,as stong as a man who is the stongest man in the world,10.0,10.0,10.0,10.0
