id,item,response,source,prediction,modelname,effectiveness_prediction,text
5591cd21fdf99b63126f6c60,assist people with memory impairments remember important tasks,full-time personnel dedicated to each person that serve as assistants who schedule tasks and remind the person of their obligations,human,0.62,AIDE,0.6,An original solution to assist people with memory impairments remember important tasks is full-time personnel dedicated to each person that serve as assistants who schedule tasks and remind the person of their obligations
5591cd21fdf99b63126f6c60,help people with mobility impairments navigate stairs,"an electric wall-mounted chair with robotic arms that have sensors that can detect nearby people, pick them up and place them into the chair, and then move up/down the stairs. a panic button could also be installed that would immediately stop the movement of the chair or robotic arms",human,0.88,AIDE,0.74,"An original solution to help people with mobility impairments navigate stairs is an electric wall-mounted chair with robotic arms that have sensors that can detect nearby people, pick them up and place them into the chair, and then move up/down the stairs. a panic button could also be installed that would immediately stop the movement of the chair or robotic arms"
5591cd21fdf99b63126f6c60,improve access to clean water in remote areas,develop a portable water filtration system that is capable of cleaning any type of contaminated water that in turn makes it suitable for consumption,human,0.74,AIDE,0.74,An original solution to improve access to clean water in remote areas is develop a portable water filtration system that is capable of cleaning any type of contaminated water that in turn makes it suitable for consumption
5591cd21fdf99b63126f6c60,increase the use of renewable energy sources,"create government messaging campaigns that heavily encourage people to use renewable energy, and warns of severe consequences in the future if people do not comply",human,0.44,AIDE,0.76,"An original solution to increase the use of renewable energy sources is create government messaging campaigns that heavily encourage people to use renewable energy, and warns of severe consequences in the future if people do not comply"
5591cd21fdf99b63126f6c60,reduce traffic congestion in mega cities,heavily tax motorists as a way to pressure them into taking public transit or a bicycle,human,0.42,AIDE,0.53,An original solution to reduce traffic congestion in mega cities is heavily tax motorists as a way to pressure them into taking public transit or a bicycle
55bb9ae7fdf99b26d27fda01,assist people with memory impairments remember important tasks,set phone alarms,human,0.29,AIDE,0.39,An original solution to assist people with memory impairments remember important tasks is set phone alarms
55bb9ae7fdf99b26d27fda01,help people with mobility impairments navigate stairs,small areas that can lift the person up with a hand crank machine,human,0.54,AIDE,0.56,An original solution to help people with mobility impairments navigate stairs is small areas that can lift the person up with a hand crank machine
55bb9ae7fdf99b26d27fda01,improve access to clean water in remote areas,small machines that can filter water cheap,human,0.42,AIDE,0.57,An original solution to improve access to clean water in remote areas is small machines that can filter water cheap
55bb9ae7fdf99b26d27fda01,increase the use of renewable energy sources,build more solar panels,human,0.31,AIDE,0.53,An original solution to increase the use of renewable energy sources is build more solar panels
55bb9ae7fdf99b26d27fda01,reduce traffic congestion in mega cities,put in fees for driving in prime time,human,0.47,AIDE,0.4,An original solution to reduce traffic congestion in mega cities is put in fees for driving in prime time
56e225c2ec0fdd000641e72d,assist people with memory impairments remember important tasks,use voice assistants to help guide people to complete their home tasks,human,0.55,AIDE,0.6,An original solution to assist people with memory impairments remember important tasks is use voice assistants to help guide people to complete their home tasks
56e225c2ec0fdd000641e72d,help people with mobility impairments navigate stairs,give them a scooter that can fit on the stairs,human,0.39,AIDE,0.5,An original solution to help people with mobility impairments navigate stairs is give them a scooter that can fit on the stairs
56e225c2ec0fdd000641e72d,improve access to clean water in remote areas,give remote villages water purification systems for them to use,human,0.41,AIDE,0.59,An original solution to improve access to clean water in remote areas is give remote villages water purification systems for them to use
56e225c2ec0fdd000641e72d,increase the use of renewable energy sources,give tax breaks to people that use renewable energy,human,0.42,AIDE,0.62,An original solution to increase the use of renewable energy sources is give tax breaks to people that use renewable energy
56e225c2ec0fdd000641e72d,reduce traffic congestion in mega cities,install more bike lanes to encourage bike riding,human,0.38,AIDE,0.64,An original solution to reduce traffic congestion in mega cities is install more bike lanes to encourage bike riding
