entity_id,prompt,response,task,source,word_count
centaur_001,PENCIL,SCENARIO: PENCIL,AUT,centaur,2
centaur_001,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,SCENARIO: help people with mobility impairments navigate stairs.,Design,centaur,8
centaur_001,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,SCENARIO: assist people with memory impairments remember important tasks.,Design,centaur,9
centaur_001,pen-paper-story,SCENARIO: pen-paper-story,Story,centaur,2
centaur_001,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,SCENARIO: You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,SCTT-ResearchQuestion,centaur,22
centaur_001,BRICK,SCENARIO: BRICK,AUT,centaur,2
centaur_001,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,SCENARIO: You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,SCTT-Hypothesis,centaur,36
centaur_001,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,SCENARIO: You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,SCTT-Hypothesis,centaur,25
centaur_001,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,SCENARIO: You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,SCTT-ResearchQuestion,centaur,23
centaur_001,Develop as many design ideas as you can to increase the use of renewable energy sources.,SCENARIO: increase the use of renewable energy sources.,Design,centaur,8
centaur_001,BUCKET,SCENARIO: BUCKET,AUT,centaur,2
centaur_001,mirror-face-reflection,SCENARIO: mirror-face-reflection,Story,centaur,2
centaur_001,key-door-lock,SCENARIO: key-door-lock,Story,centaur,2
centaur_001,bridge-river-cross,SCENARIO: bridge-river-cross,Story,centaur,2
centaur_001,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,SCENARIO: reduce traffic congestion in mega cities.,Design,centaur,7
centaur_001,KNIFE,SCENARIO: KNIFE,AUT,centaur,2
centaur_002,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,How many stars would be visible at night? Does this planet contain any life?,SCTT-ResearchQuestion,centaur,14
centaur_002,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,Can it feel emotions like humans do?,SCTT-ResearchQuestion,centaur,7
centaur_002,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,A mobile app.,Design,centaur,3
centaur_002,bridge-river-cross,You cross over the river using a bridge.,Story,centaur,8
centaur_002,PENCIL,To measure distances.,AUT,centaur,3
centaur_002,pen-paper-story,The pen writes on paper to tell its story.,Story,centaur,9
centaur_002,Develop as many design ideas as you can to increase the use of renewable energy sources.,Make solar panels more affordable.,Design,centaur,5
centaur_002,mirror-face-reflection,In the mirror you see your face reflected back.,Story,centaur,9
centaur_002,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,It's caused by pollution.,SCTT-Hypothesis,centaur,4
centaur_002,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,Build a metro system.,Design,centaur,4
centaur_002,BUCKET,To collect rainwater.,AUT,centaur,3
centaur_002,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,An escalator,Design,centaur,2
centaur_002,BRICK,A brick oven.,AUT,centaur,3
centaur_002,KNIFE,As a weapon.,AUT,centaur,3
centaur_002,key-door-lock,I unlock my door using a key.,Story,centaur,7
centaur_002,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,Different types of algae live in each lake.,SCTT-Hypothesis,centaur,8
centaur_003,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,,SCTT-Hypothesis,centaur,0
centaur_003,BUCKET,,AUT,centaur,0
centaur_003,bridge-river-cross,,Story,centaur,0
centaur_003,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,,Design,centaur,0
centaur_003,BRICK,,AUT,centaur,0
centaur_003,key-door-lock,,Story,centaur,0
centaur_003,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,,Design,centaur,0
centaur_003,mirror-face-reflection,,Story,centaur,0
centaur_003,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,,SCTT-Hypothesis,centaur,0
centaur_003,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,,Design,centaur,0
centaur_003,PENCIL,,AUT,centaur,0
centaur_003,KNIFE,,AUT,centaur,0
centaur_003,Develop as many design ideas as you can to increase the use of renewable energy sources.,,Design,centaur,0
centaur_003,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,,SCTT-ResearchQuestion,centaur,0
centaur_003,pen-paper-story,,Story,centaur,0
centaur_003,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,,SCTT-ResearchQuestion,centaur,0
centaur_004,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,introduce traffic lights where there aren't any,Design,centaur,7
centaur_004,BRICK,build a wall around your house.,AUT,centaur,6
centaur_004,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,How far away is it? Does life exist here?,SCTT-ResearchQuestion,centaur,9
centaur_004,key-door-lock,I lost my keys so i used my lock to unlock my door,Story,centaur,13
centaur_004,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,The stars are actually alive and need space to breathe,SCTT-Hypothesis,centaur,10
centaur_004,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,set alarms on their phone every hour,Design,centaur,7
centaur_004,BUCKET,Use it as a seat,AUT,centaur,5
centaur_004,PENCIL,Use it as a weapon,AUT,centaur,5
centaur_004,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,One lake has more trees surrounding it which provide shade,SCTT-Hypothesis,centaur,10
centaur_004,KNIFE,cut food into tiny pieces,AUT,centaur,5
centaur_004,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,Can he/she experience emotion?,SCTT-ResearchQuestion,centaur,4
centaur_004,mirror-face-reflection,I looked at myself in the mirror and thought how old i was getting,Story,centaur,14
centaur_004,Develop as many design ideas as you can to increase the use of renewable energy sources.,create a solar powered car,Design,centaur,5
centaur_004,pen-paper-story,I wrote a book with my pen on paper,Story,centaur,9
centaur_004,bridge-river-cross,I crossed the bridge over the river to go home,Story,centaur,10
centaur_004,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,put elevators at each level of stairs,Design,centaur,7
centaur_005,Develop as many design ideas as you can to reduce traffic congestion in mega cities.,The government should allow self-driving cars to operate.,Design,centaur,8
centaur_005,mirror-face-reflection,"I stared at my reflection, and I realized how much I've changed over the years.",Story,centaur,15
centaur_005,You look outside one night and see stars disappearing one by one from the sky. What hypotheses do you have about why that is?,Maybe there's something wrong with your eyes.,SCTT-Hypothesis,centaur,7
centaur_005,BRICK,Use it as a base to create a unique table.,AUT,centaur,10
centaur_005,BUCKET,Make a bucket into a hat!,AUT,centaur,6
centaur_005,Develop as many design ideas as you can to help people with mobility impairments navigate stairs.,Create a stairway that has a ramp built-in.,Design,centaur,8
centaur_005,KNIFE,Use it as a tool to clean dirty shoes.,AUT,centaur,9
centaur_005,Develop as many design ideas as you can to assist people with memory impairments remember important tasks.,Program a smart home device (Alexa) to remind them of their tasks every day.,Design,centaur,14
centaur_005,bridge-river-cross,I crossed a bridge over a river to reach the other side.,Story,centaur,12
centaur_005,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,"Maybe the first lake gets more rain, so its water level is higher.",SCTT-Hypothesis,centaur,13
centaur_005,key-door-lock,I used a key to open a door because it was locked.,Story,centaur,12
centaur_005,You travel on a spaceship to a new planet outside of our galaxy. What scientific questions could you ask about this planet?,How does life survive on such a harsh planet?,SCTT-ResearchQuestion,centaur,9
centaur_005,pen-paper-story,A person wrote a story on paper with a pen.,Story,centaur,10
centaur_005,PENCIL,Use it as a marker for a whiteboard.,AUT,centaur,8
centaur_005,You are introduced to a robot that can learn and think like humans. What scientific questions could you ask about this?,Can robots think like humans?,SCTT-ResearchQuestion,centaur,5
centaur_005,Develop as many design ideas as you can to increase the use of renewable energy sources.,Build more solar panel fields to generate power.,Design,centaur,8
centaur_006,pen-paper-story,"A person writes a note, writes their name at the bottom, then folds it up into a paper airplane. They throw it through the air towards someone else who catches it. They open it up and read the message, smiling.",Story,centaur,40
centaur_006,You notice that the water in one lake is warmer than the water in another lake even though they both get the same amount of sunlight. What hypotheses do you have about why that is?,"The first lake's water might be evaporating faster due to high winds or humidity levels, leaving less water overall compared to the other lake.",SCTT-Hypothesis,centaur,24
centaur_006,PENCIL,Use as a tool to wind long hair around to create a bun.,AUT,centaur,13
centaur_006,key-door-lock,"Someone lost their house keys, so they go to the door and unlock it. Then they lock the door behind them when they leave.",Story,centaur,24
